YEAR,MO,DY,HR,T2M;
2015,1,23,16,9.36;
2015,1,23,17,8.99;
2015,1,23,18,8.8;
2015,1,23,19,8.48;
2015,1,23,20,7.95;
2015,1,23,21,7.31;
2015,1,23,22,7.01;
2015,1,23,23,7.06;
2015,1,24,0,6.98;
2015,1,24,1,6.85;
2015,1,24,2,6.7;
2015,1,24,3,6.54;
2015,1,24,4,6.41;
2015,1,24,5,6.42;
2015,1,24,6,6.48;
2015,1,24,7,6.65;
2015,1,24,8,7.38;
2015,1,24,9,8.8;
2015,1,24,10,9.92;
2015,1,24,11,10.85;
2015,1,24,12,11.36;
2015,1,24,13,11.54;
2015,1,24,14,11.49;
2015,1,24,15,11.14;
2015,1,24,16,10.37;
2015,1,24,17,9.56;
2015,1,24,18,9.26;
2015,1,24,19,8.38;
2015,1,24,20,7.13;
2015,1,24,21,6.65;
2015,1,24,22,6.58;
2015,1,24,23,6.72;
2015,1,25,0,7.19;
2015,1,25,1,7.19;
2015,1,25,2,6.4;
2015,1,25,3,5.65;
2015,1,25,4,5.2;
2015,1,25,5,5.05;
2015,1,25,6,5.3;
2015,1,25,7,5.69;
2015,1,25,8,6.44;
2015,1,25,9,7.87;
2015,1,25,10,8.94;
2015,1,25,11,9.51;
2015,1,25,12,9.8;
2015,1,25,13,9.88;
2015,1,25,14,9.71;
2015,1,25,15,9.03;
2015,1,25,16,7.37;
2015,1,25,17,6.42;
2015,1,25,18,6.11;
2015,1,25,19,5.73;
2015,1,25,20,5.46;
2015,1,25,21,5.13;
2015,1,25,22,4.9;
2015,1,25,23,4.61;
2015,1,26,0,4.38;
2015,1,26,1,4.27;
2015,1,26,2,4.31;
2015,1,26,3,4.33;
2015,1,26,4,4.24;
2015,1,26,5,3.92;
2015,1,26,6,3.65;
2015,1,26,7,3.31;
2015,1,26,8,4.16;
2015,1,26,9,5.76;
2015,1,26,10,6.76;
2015,1,26,11,7.55;
2015,1,26,12,7.85;
2015,1,26,13,7.98;
2015,1,26,14,7.92;
2015,1,26,15,7.49;
2015,1,26,16,6.36;
2015,1,26,17,5.67;
2015,1,26,18,5.5;
2015,1,26,19,5.44;
2015,1,26,20,5.44;
2015,1,26,21,5.45;
2015,1,26,22,5.4;
2015,1,26,23,4.96;
2015,1,27,0,4.62;
2015,1,27,1,4.46;
2015,1,27,2,4.42;
2015,1,27,3,4.64;
2015,1,27,4,4.81;
2015,1,27,5,4.77;
2015,1,27,6,4.62;
2015,1,27,7,4.54;
2015,1,27,8,4.72;
2015,1,27,9,5.72;
2015,1,27,10,6.47;
2015,1,27,11,7.02;
2015,1,27,12,7.35;
2015,1,27,13,7.49;
2015,1,27,14,7.51;
2015,1,27,15,7.3;
